CustomerID,ab_group
3668-QPYBK,A
9237-HQITU,A
9305-CDSKC,A
7892-POOKP,B
0280-XJGEX,A
4190-MFLUW,B
8779-QRDMV,B
1066-JKSGK,B
6467-CHFZW,B
8665-UTDHZ,B
8773-HHUOZ,B
6047-YHPVI,A
5380-WJKOV,A
8168-UQWWF,B
7760-OYPDY,A
9420-LOJKX,A
7495-OOKFY,B
1658-BYGOY,A
5698-BQJOH,B
5919-TMRGD,B
9191-MYQKX,A
8637-XJIVR,A
0278-YXOOG,B
4598-XLKNJ,B
3192-NQECA,A
0486-HECZI,A
4846-WHAFZ,B
5299-RULOA,A
0404-SWRVG,A
4412-YLTKF,B
6207-WIOLX,B
3091-FYHKI,A
2372-HWUHI,A
0390-DCFDQ,B
4080-OGPJL,B
2135-RXIHG,A
3874-EQOEP,A
0867-MKZVY,B
3376-BMGFE,A
3445-HXXGF,B
1875-QIVME,A
0691-JVSYA,B
2656-FMOKZ,A
2070-FNEXE,A
6317-YPKDH,A
9367-WXLCH,A
1918-ZBFQJ,B
1024-GUALD,A
2472-OVKUP,A
1285-OKIPP,A
7825-ECJRF,B
7841-TZDMQ,A
9408-SSNVZ,B
0742-MOABM,B
2232-DMLXU,B
8937-RDTHP,B
1251-KRREG,B
0094-OIFMO,A
9947-OTFQU,B
0322-YINQP,B
4629-NRXKX,A
9514-JDSKI,B
4959-JOSRX,B
7273-TEFQD,B
3606-TWKGI,B
6323-AYBRX,A
4385-GZQXV,A
6366-ZGQGL,B
5940-AHUHD,A
6432-TWQLB,A
4484-GLZOU,A
9512-UIBFX,B
5583-SXDAG,B
3488-PGMQJ,A
3580-REOAC,A
7534-BFESC,A
6390-DSAZX,A
8098-LLAZX,A
0265-EDXBD,A
7563-BIUPC,A
2321-OMBXY,A
2840-XANRC,B
5020-ZSTTY,A
5804-LEPIM,A
0122-OAHPZ,A
2868-SNELZ,A
4322-RCYMT,A
6680-NENYN,A
1343-EHPYB,B
2034-GDRCN,A
0219-YTZUE,B
0623-IIHUG,B
4572-DVCGN,A
9057-MSWCO,A
1010-DIAUQ,A
0259-GBZSH,A
9601-BRXPO,B
6905-NIQIN,B
5167-ZFFMM,A
4895-TMWIR,A
0533-BNWKF,B
6599-CEBNN,A
0979-PHULV,B
4800-VHZKI,B
7989-CHGTL,A
0334-GDDSO,B
0578-SKVMF,A
5564-NEMQO,A
9063-ZGTUY,A
2957-LOLHO,B
7752-XUSCI,A
4110-PFEUZ,B
0256-LTHVJ,A
0880-TKATG,A
3811-VBYBZ,A
4640-UHDOS,B
3583-EKAPL,A
9399-APLBT,B
2359-KMGLI,A
0306-JAELE,A
6227-HWPWX,B
0447-BEMNG,A
5949-XIKAE,B
8372-JUXUI,B
0388-EOPEX,A
8205-OTCHB,A
6235-VDHOM,B
7783-YKGDV,B
5609-CEBID,A
7218-HKQFK,A
4636-QRJKY,B
5956-VKDTT,A
9412-GHEEC,B
0257-ZESQC,B
6825-UYPFK,A
8397-MVTAZ,B
9282-IZGQK,A
1342-JPNKI,A
2817-NTQDO,B
6986-IJDHX,B
5301-GAUUY,B
0939-YAPAF,B
4710-FDUIZ,A
1218-VKFPE,A
3627-FHKBK,A
2865-TCHJW,A
5192-EBGOV,A
0719-SYFRB,B
3419-SNJJD,A
6543-CPZMK,B
4765-OXPPD,A
1009-IRMNA,A
4554-YGZIH,B
5099-BAILX,A
7207-RMRDB,B
4913-EHYUI,A
0195-IESCP,B
4580-TMHJU,A
0970-ETWGE,A
1626-ERCMM,B
0887-HJGAR,A
5644-PDMZC,B
9576-ANLXO,B
2024-BASKD,A
4160-AMJTL,B
4464-JCOLN,A
5650-VDUDS,B
7538-GWHML,B
3859-CVCET,B
3276-HDUEG,A
0823-HSCDJ,B
0822-GAVAP,A
1448-PWKYE,B
0067-DKWBL,A
2276-YDAVZ,A
5896-NPFWW,A
7133-VBDCG,A
1029-QFBEN,B
4952-YSOGZ,B
1589-AGTLK,A
5244-IRFIH,A
2684-EIWEO,B
6439-GTPCA,A
5138-WVKYJ,B
6683-VLCTZ,B
2189-WWOEW,B
1894-IGFSG,A
7379-POKDZ,A
0236-HFWSV,A
3900-AQPHZ,A
5842-POCOP,A
2037-XJFUP,B
7314-OXENN,A
0322-CHQRU,A
4678-DVQEO,B
0691-IFBQW,A
3009-JWMPU,A
1450-GALXR,B
3138-BKYAV,A
4289-DTDKW,B
1820-TQVEV,A
2239-JALAW,A
4853-RULSV,A
